,pathway,reaction,pathway name,pathway description
2607,map00403,R10376,Indole diterpene alkaloid biosynthesis,"Indole diterpene alkaloids are a group of meroterpenoids consisting of a partial diterpene structure with four isoprene units and an indole moiety. The common cyclic diterpene skeleton is derived from geranylgeranyl diphosphate (GGPP) and an indole moiety is derived from tryptophan or a tryptophan precursor. They are combined in the initial step of biosynthetic reactions that generate paspaline, the first stable and less modified form required for other forms. Most indole diterpene alkaloids have potent mammalian tremorgenic activities, such as ryegrass staggers in livestock, and some have anti-insect properties. This map shows examples of indole diterpene alkaloids isolated from filamentous fungi."
2608,map00403,R10379,Indole diterpene alkaloid biosynthesis,"Indole diterpene alkaloids are a group of meroterpenoids consisting of a partial diterpene structure with four isoprene units and an indole moiety. The common cyclic diterpene skeleton is derived from geranylgeranyl diphosphate (GGPP) and an indole moiety is derived from tryptophan or a tryptophan precursor. They are combined in the initial step of biosynthetic reactions that generate paspaline, the first stable and less modified form required for other forms. Most indole diterpene alkaloids have potent mammalian tremorgenic activities, such as ryegrass staggers in livestock, and some have anti-insect properties. This map shows examples of indole diterpene alkaloids isolated from filamentous fungi."
2609,map00403,R10380,Indole diterpene alkaloid biosynthesis,"Indole diterpene alkaloids are a group of meroterpenoids consisting of a partial diterpene structure with four isoprene units and an indole moiety. The common cyclic diterpene skeleton is derived from geranylgeranyl diphosphate (GGPP) and an indole moiety is derived from tryptophan or a tryptophan precursor. They are combined in the initial step of biosynthetic reactions that generate paspaline, the first stable and less modified form required for other forms. Most indole diterpene alkaloids have potent mammalian tremorgenic activities, such as ryegrass staggers in livestock, and some have anti-insect properties. This map shows examples of indole diterpene alkaloids isolated from filamentous fungi."
2610,map00403,R10381,Indole diterpene alkaloid biosynthesis,"Indole diterpene alkaloids are a group of meroterpenoids consisting of a partial diterpene structure with four isoprene units and an indole moiety. The common cyclic diterpene skeleton is derived from geranylgeranyl diphosphate (GGPP) and an indole moiety is derived from tryptophan or a tryptophan precursor. They are combined in the initial step of biosynthetic reactions that generate paspaline, the first stable and less modified form required for other forms. Most indole diterpene alkaloids have potent mammalian tremorgenic activities, such as ryegrass staggers in livestock, and some have anti-insect properties. This map shows examples of indole diterpene alkaloids isolated from filamentous fungi."
2611,map00403,R10382,Indole diterpene alkaloid biosynthesis,"Indole diterpene alkaloids are a group of meroterpenoids consisting of a partial diterpene structure with four isoprene units and an indole moiety. The common cyclic diterpene skeleton is derived from geranylgeranyl diphosphate (GGPP) and an indole moiety is derived from tryptophan or a tryptophan precursor. They are combined in the initial step of biosynthetic reactions that generate paspaline, the first stable and less modified form required for other forms. Most indole diterpene alkaloids have potent mammalian tremorgenic activities, such as ryegrass staggers in livestock, and some have anti-insect properties. This map shows examples of indole diterpene alkaloids isolated from filamentous fungi."
2612,map00403,R10383,Indole diterpene alkaloid biosynthesis,"Indole diterpene alkaloids are a group of meroterpenoids consisting of a partial diterpene structure with four isoprene units and an indole moiety. The common cyclic diterpene skeleton is derived from geranylgeranyl diphosphate (GGPP) and an indole moiety is derived from tryptophan or a tryptophan precursor. They are combined in the initial step of biosynthetic reactions that generate paspaline, the first stable and less modified form required for other forms. Most indole diterpene alkaloids have potent mammalian tremorgenic activities, such as ryegrass staggers in livestock, and some have anti-insect properties. This map shows examples of indole diterpene alkaloids isolated from filamentous fungi."
2613,map00403,R10384,Indole diterpene alkaloid biosynthesis,"Indole diterpene alkaloids are a group of meroterpenoids consisting of a partial diterpene structure with four isoprene units and an indole moiety. The common cyclic diterpene skeleton is derived from geranylgeranyl diphosphate (GGPP) and an indole moiety is derived from tryptophan or a tryptophan precursor. They are combined in the initial step of biosynthetic reactions that generate paspaline, the first stable and less modified form required for other forms. Most indole diterpene alkaloids have potent mammalian tremorgenic activities, such as ryegrass staggers in livestock, and some have anti-insect properties. This map shows examples of indole diterpene alkaloids isolated from filamentous fungi."
2614,map00403,R10405,Indole diterpene alkaloid biosynthesis,"Indole diterpene alkaloids are a group of meroterpenoids consisting of a partial diterpene structure with four isoprene units and an indole moiety. The common cyclic diterpene skeleton is derived from geranylgeranyl diphosphate (GGPP) and an indole moiety is derived from tryptophan or a tryptophan precursor. They are combined in the initial step of biosynthetic reactions that generate paspaline, the first stable and less modified form required for other forms. Most indole diterpene alkaloids have potent mammalian tremorgenic activities, such as ryegrass staggers in livestock, and some have anti-insect properties. This map shows examples of indole diterpene alkaloids isolated from filamentous fungi."
2615,map00403,R10406,Indole diterpene alkaloid biosynthesis,"Indole diterpene alkaloids are a group of meroterpenoids consisting of a partial diterpene structure with four isoprene units and an indole moiety. The common cyclic diterpene skeleton is derived from geranylgeranyl diphosphate (GGPP) and an indole moiety is derived from tryptophan or a tryptophan precursor. They are combined in the initial step of biosynthetic reactions that generate paspaline, the first stable and less modified form required for other forms. Most indole diterpene alkaloids have potent mammalian tremorgenic activities, such as ryegrass staggers in livestock, and some have anti-insect properties. This map shows examples of indole diterpene alkaloids isolated from filamentous fungi."
2616,map00403,R10410,Indole diterpene alkaloid biosynthesis,"Indole diterpene alkaloids are a group of meroterpenoids consisting of a partial diterpene structure with four isoprene units and an indole moiety. The common cyclic diterpene skeleton is derived from geranylgeranyl diphosphate (GGPP) and an indole moiety is derived from tryptophan or a tryptophan precursor. They are combined in the initial step of biosynthetic reactions that generate paspaline, the first stable and less modified form required for other forms. Most indole diterpene alkaloids have potent mammalian tremorgenic activities, such as ryegrass staggers in livestock, and some have anti-insect properties. This map shows examples of indole diterpene alkaloids isolated from filamentous fungi."
2617,map00403,R10566,Indole diterpene alkaloid biosynthesis,"Indole diterpene alkaloids are a group of meroterpenoids consisting of a partial diterpene structure with four isoprene units and an indole moiety. The common cyclic diterpene skeleton is derived from geranylgeranyl diphosphate (GGPP) and an indole moiety is derived from tryptophan or a tryptophan precursor. They are combined in the initial step of biosynthetic reactions that generate paspaline, the first stable and less modified form required for other forms. Most indole diterpene alkaloids have potent mammalian tremorgenic activities, such as ryegrass staggers in livestock, and some have anti-insect properties. This map shows examples of indole diterpene alkaloids isolated from filamentous fungi."
2618,map00403,R10569,Indole diterpene alkaloid biosynthesis,"Indole diterpene alkaloids are a group of meroterpenoids consisting of a partial diterpene structure with four isoprene units and an indole moiety. The common cyclic diterpene skeleton is derived from geranylgeranyl diphosphate (GGPP) and an indole moiety is derived from tryptophan or a tryptophan precursor. They are combined in the initial step of biosynthetic reactions that generate paspaline, the first stable and less modified form required for other forms. Most indole diterpene alkaloids have potent mammalian tremorgenic activities, such as ryegrass staggers in livestock, and some have anti-insect properties. This map shows examples of indole diterpene alkaloids isolated from filamentous fungi."
2619,map00403,R10570,Indole diterpene alkaloid biosynthesis,"Indole diterpene alkaloids are a group of meroterpenoids consisting of a partial diterpene structure with four isoprene units and an indole moiety. The common cyclic diterpene skeleton is derived from geranylgeranyl diphosphate (GGPP) and an indole moiety is derived from tryptophan or a tryptophan precursor. They are combined in the initial step of biosynthetic reactions that generate paspaline, the first stable and less modified form required for other forms. Most indole diterpene alkaloids have potent mammalian tremorgenic activities, such as ryegrass staggers in livestock, and some have anti-insect properties. This map shows examples of indole diterpene alkaloids isolated from filamentous fungi."
2620,map00403,R10571,Indole diterpene alkaloid biosynthesis,"Indole diterpene alkaloids are a group of meroterpenoids consisting of a partial diterpene structure with four isoprene units and an indole moiety. The common cyclic diterpene skeleton is derived from geranylgeranyl diphosphate (GGPP) and an indole moiety is derived from tryptophan or a tryptophan precursor. They are combined in the initial step of biosynthetic reactions that generate paspaline, the first stable and less modified form required for other forms. Most indole diterpene alkaloids have potent mammalian tremorgenic activities, such as ryegrass staggers in livestock, and some have anti-insect properties. This map shows examples of indole diterpene alkaloids isolated from filamentous fungi."
2621,map00403,R10692,Indole diterpene alkaloid biosynthesis,"Indole diterpene alkaloids are a group of meroterpenoids consisting of a partial diterpene structure with four isoprene units and an indole moiety. The common cyclic diterpene skeleton is derived from geranylgeranyl diphosphate (GGPP) and an indole moiety is derived from tryptophan or a tryptophan precursor. They are combined in the initial step of biosynthetic reactions that generate paspaline, the first stable and less modified form required for other forms. Most indole diterpene alkaloids have potent mammalian tremorgenic activities, such as ryegrass staggers in livestock, and some have anti-insect properties. This map shows examples of indole diterpene alkaloids isolated from filamentous fungi."
2622,map00403,R10694,Indole diterpene alkaloid biosynthesis,"Indole diterpene alkaloids are a group of meroterpenoids consisting of a partial diterpene structure with four isoprene units and an indole moiety. The common cyclic diterpene skeleton is derived from geranylgeranyl diphosphate (GGPP) and an indole moiety is derived from tryptophan or a tryptophan precursor. They are combined in the initial step of biosynthetic reactions that generate paspaline, the first stable and less modified form required for other forms. Most indole diterpene alkaloids have potent mammalian tremorgenic activities, such as ryegrass staggers in livestock, and some have anti-insect properties. This map shows examples of indole diterpene alkaloids isolated from filamentous fungi."
2623,map00404,R05757,Staurosporine biosynthesis,Metabolism; Biosynthesis of other secondary metabolites
2624,map00404,R09560,Staurosporine biosynthesis,Metabolism; Biosynthesis of other secondary metabolites
2625,map00404,R09566,Staurosporine biosynthesis,Metabolism; Biosynthesis of other secondary metabolites
2626,map00404,R09567,Staurosporine biosynthesis,Metabolism; Biosynthesis of other secondary metabolites
2627,map00404,R09568,Staurosporine biosynthesis,Metabolism; Biosynthesis of other secondary metabolites
2628,map00404,R09569,Staurosporine biosynthesis,Metabolism; Biosynthesis of other secondary metabolites
2629,map00404,R09570,Staurosporine biosynthesis,Metabolism; Biosynthesis of other secondary metabolites
2630,map00404,R10321,Staurosporine biosynthesis,Metabolism; Biosynthesis of other secondary metabolites
2631,map00404,R10340,Staurosporine biosynthesis,Metabolism; Biosynthesis of other secondary metabolites
2632,map00404,R10341,Staurosporine biosynthesis,Metabolism; Biosynthesis of other secondary metabolites
2633,map00404,R10414,Staurosporine biosynthesis,Metabolism; Biosynthesis of other secondary metabolites
2634,map00404,R10416,Staurosporine biosynthesis,Metabolism; Biosynthesis of other secondary metabolites
2635,map00404,R10445,Staurosporine biosynthesis,Metabolism; Biosynthesis of other secondary metabolites
2636,map00404,R10457,Staurosporine biosynthesis,Metabolism; Biosynthesis of other secondary metabolites
2637,map00404,R10588,Staurosporine biosynthesis,Metabolism; Biosynthesis of other secondary metabolites
2638,map00404,R10661,Staurosporine biosynthesis,Metabolism; Biosynthesis of other secondary metabolites
2639,map00404,R11105,Staurosporine biosynthesis,Metabolism; Biosynthesis of other secondary metabolites
2640,map00404,R11106,Staurosporine biosynthesis,Metabolism; Biosynthesis of other secondary metabolites
2641,map00404,R11107,Staurosporine biosynthesis,Metabolism; Biosynthesis of other secondary metabolites
2642,map00404,R11119,Staurosporine biosynthesis,Metabolism; Biosynthesis of other secondary metabolites
2643,map00404,R11120,Staurosporine biosynthesis,Metabolism; Biosynthesis of other secondary metabolites
2644,map00404,R11121,Staurosporine biosynthesis,Metabolism; Biosynthesis of other secondary metabolites
2645,map00404,R11122,Staurosporine biosynthesis,Metabolism; Biosynthesis of other secondary metabolites
2646,map00404,R11123,Staurosporine biosynthesis,Metabolism; Biosynthesis of other secondary metabolites
2647,map00404,R11129,Staurosporine biosynthesis,Metabolism; Biosynthesis of other secondary metabolites
2648,map00404,R11131,Staurosporine biosynthesis,Metabolism; Biosynthesis of other secondary metabolites
2649,map00404,R11132,Staurosporine biosynthesis,Metabolism; Biosynthesis of other secondary metabolites
2650,map00404,R11133,Staurosporine biosynthesis,Metabolism; Biosynthesis of other secondary metabolites
2651,map00404,R11134,Staurosporine biosynthesis,Metabolism; Biosynthesis of other secondary metabolites
2652,map00404,R11135,Staurosporine biosynthesis,Metabolism; Biosynthesis of other secondary metabolites
2653,map00404,R11136,Staurosporine biosynthesis,Metabolism; Biosynthesis of other secondary metabolites
2654,map00404,R11138,Staurosporine biosynthesis,Metabolism; Biosynthesis of other secondary metabolites
2655,map00404,R11139,Staurosporine biosynthesis,Metabolism; Biosynthesis of other secondary metabolites
2656,map00404,R11158,Staurosporine biosynthesis,Metabolism; Biosynthesis of other secondary metabolites
2657,map00410,R00233,beta-Alanine metabolism,Metabolism; Metabolism of other amino acids
2658,map00410,R00489,beta-Alanine metabolism,Metabolism; Metabolism of other amino acids
2659,map00410,R00705,beta-Alanine metabolism,Metabolism; Metabolism of other amino acids
2660,map00410,R00706,beta-Alanine metabolism,Metabolism; Metabolism of other amino acids
2661,map00410,R00743,beta-Alanine metabolism,Metabolism; Metabolism of other amino acids
2662,map00410,R00904,beta-Alanine metabolism,Metabolism; Metabolism of other amino acids
2663,map00410,R00905,beta-Alanine metabolism,Metabolism; Metabolism of other amino acids
2664,map00410,R00907,beta-Alanine metabolism,Metabolism; Metabolism of other amino acids
2665,map00410,R00908,beta-Alanine metabolism,Metabolism; Metabolism of other amino acids
2666,map00410,R00909,beta-Alanine metabolism,Metabolism; Metabolism of other amino acids
2667,map00410,R00910,beta-Alanine metabolism,Metabolism; Metabolism of other amino acids
2668,map00410,R00911,beta-Alanine metabolism,Metabolism; Metabolism of other amino acids
2669,map00410,R00912,beta-Alanine metabolism,Metabolism; Metabolism of other amino acids
2670,map00410,R00924,beta-Alanine metabolism,Metabolism; Metabolism of other amino acids
2671,map00410,R00977,beta-Alanine metabolism,Metabolism; Metabolism of other amino acids
2672,map00410,R00978,beta-Alanine metabolism,Metabolism; Metabolism of other amino acids
2673,map00410,R01164,beta-Alanine metabolism,Metabolism; Metabolism of other amino acids
2674,map00410,R01166,beta-Alanine metabolism,Metabolism; Metabolism of other amino acids
2675,map00410,R01604,beta-Alanine metabolism,Metabolism; Metabolism of other amino acids
2676,map00410,R01607,beta-Alanine metabolism,Metabolism; Metabolism of other amino acids
2677,map00410,R01608,beta-Alanine metabolism,Metabolism; Metabolism of other amino acids
2678,map00410,R01611,beta-Alanine metabolism,Metabolism; Metabolism of other amino acids
2679,map00410,R01914,beta-Alanine metabolism,Metabolism; Metabolism of other amino acids
2680,map00410,R02269,beta-Alanine metabolism,Metabolism; Metabolism of other amino acids
2681,map00410,R02473,beta-Alanine metabolism,Metabolism; Metabolism of other amino acids
2682,map00410,R02549,beta-Alanine metabolism,Metabolism; Metabolism of other amino acids
2683,map00410,R02869,beta-Alanine metabolism,Metabolism; Metabolism of other amino acids
2684,map00410,R03045,beta-Alanine metabolism,Metabolism; Metabolism of other amino acids
2685,map00410,R03046,beta-Alanine metabolism,Metabolism; Metabolism of other amino acids
2686,map00410,R03139,beta-Alanine metabolism,Metabolism; Metabolism of other amino acids
2687,map00410,R03158,beta-Alanine metabolism,Metabolism; Metabolism of other amino acids
2688,map00410,R03286,beta-Alanine metabolism,Metabolism; Metabolism of other amino acids
2689,map00410,R03288,beta-Alanine metabolism,Metabolism; Metabolism of other amino acids
2690,map00410,R03935,beta-Alanine metabolism,Metabolism; Metabolism of other amino acids
2691,map00410,R09076,beta-Alanine metabolism,Metabolism; Metabolism of other amino acids
2692,map00410,R09077,beta-Alanine metabolism,Metabolism; Metabolism of other amino acids
2693,map00410,R09379,beta-Alanine metabolism,Metabolism; Metabolism of other amino acids
2694,map00430,R00230,Taurine and hypotaurine metabolism,Metabolism; Metabolism of other amino acids
2695,map00430,R00243,Taurine and hypotaurine metabolism,Metabolism; Metabolism of other amino acids
2696,map00430,R00315,Taurine and hypotaurine metabolism,Metabolism; Metabolism of other amino acids
2697,map00430,R00396,Taurine and hypotaurine metabolism,Metabolism; Metabolism of other amino acids
2698,map00430,R00893,Taurine and hypotaurine metabolism,Metabolism; Metabolism of other amino acids
2699,map00430,R00901,Taurine and hypotaurine metabolism,Metabolism; Metabolism of other amino acids
2700,map00430,R01681,Taurine and hypotaurine metabolism,Metabolism; Metabolism of other amino acids
2701,map00430,R01682,Taurine and hypotaurine metabolism,Metabolism; Metabolism of other amino acids
2702,map00430,R01684,Taurine and hypotaurine metabolism,Metabolism; Metabolism of other amino acids
2703,map00430,R01685,Taurine and hypotaurine metabolism,Metabolism; Metabolism of other amino acids
2704,map00430,R01686,Taurine and hypotaurine metabolism,Metabolism; Metabolism of other amino acids
2705,map00430,R01687,Taurine and hypotaurine metabolism,Metabolism; Metabolism of other amino acids
2706,map00430,R02434,Taurine and hypotaurine metabolism,Metabolism; Metabolism of other amino acids
2707,map00430,R02466,Taurine and hypotaurine metabolism,Metabolism; Metabolism of other amino acids
2708,map00430,R02467,Taurine and hypotaurine metabolism,Metabolism; Metabolism of other amino acids
2709,map00430,R02600,Taurine and hypotaurine metabolism,Metabolism; Metabolism of other amino acids
2710,map00430,R03720,Taurine and hypotaurine metabolism,Metabolism; Metabolism of other amino acids
2711,map00430,R03785,Taurine and hypotaurine metabolism,Metabolism; Metabolism of other amino acids
2712,map00430,R05320,Taurine and hypotaurine metabolism,Metabolism; Metabolism of other amino acids
2713,map00430,R05651,Taurine and hypotaurine metabolism,Metabolism; Metabolism of other amino acids
2714,map00430,R05652,Taurine and hypotaurine metabolism,Metabolism; Metabolism of other amino acids
2715,map00430,R06980,Taurine and hypotaurine metabolism,Metabolism; Metabolism of other amino acids
2716,map00430,R06981,Taurine and hypotaurine metabolism,Metabolism; Metabolism of other amino acids
2717,map00440,R00318,Phosphonate and phosphinate metabolism,"Natural products containing carbon-phosphorous bonds, so-called C-P compounds, are derivatives of phosphonate and phosphinate with substitution of alkyl group for hydrogen of phosphorus-hydrogen bonds. C-P compounds have been found in many organisms, but only protists and bacteria, mostly Actinobacteria, have biosynthetic capacity. A common reaction in the biosynthetic pathway is C-P bond forming reaction from phosphoenolpyruvate (PEP) to phosphonopyruvate (PnPy) catalyzed by PEP phosphomutase. 2-Aminoethylphosphonate (AEP) is the most abundant C-P compound in the natural world. AEP derivatives include phosphonoprotein, phosphonoglycan, and phosphonolipid. Other known C-P compounds are bioactive substances used in medicine (antibiotics) and agriculture (herbicide) such as fosfomycin, FR-33289, rhizocticin, and bialaphos."
2718,map00440,R00661,Phosphonate and phosphinate metabolism,"Natural products containing carbon-phosphorous bonds, so-called C-P compounds, are derivatives of phosphonate and phosphinate with substitution of alkyl group for hydrogen of phosphorus-hydrogen bonds. C-P compounds have been found in many organisms, but only protists and bacteria, mostly Actinobacteria, have biosynthetic capacity. A common reaction in the biosynthetic pathway is C-P bond forming reaction from phosphoenolpyruvate (PEP) to phosphonopyruvate (PnPy) catalyzed by PEP phosphomutase. 2-Aminoethylphosphonate (AEP) is the most abundant C-P compound in the natural world. AEP derivatives include phosphonoprotein, phosphonoglycan, and phosphonolipid. Other known C-P compounds are bioactive substances used in medicine (antibiotics) and agriculture (herbicide) such as fosfomycin, FR-33289, rhizocticin, and bialaphos."
2719,map00440,R00747,Phosphonate and phosphinate metabolism,"Natural products containing carbon-phosphorous bonds, so-called C-P compounds, are derivatives of phosphonate and phosphinate with substitution of alkyl group for hydrogen of phosphorus-hydrogen bonds. C-P compounds have been found in many organisms, but only protists and bacteria, mostly Actinobacteria, have biosynthetic capacity. A common reaction in the biosynthetic pathway is C-P bond forming reaction from phosphoenolpyruvate (PEP) to phosphonopyruvate (PnPy) catalyzed by PEP phosphomutase. 2-Aminoethylphosphonate (AEP) is the most abundant C-P compound in the natural world. AEP derivatives include phosphonoprotein, phosphonoglycan, and phosphonolipid. Other known C-P compounds are bioactive substances used in medicine (antibiotics) and agriculture (herbicide) such as fosfomycin, FR-33289, rhizocticin, and bialaphos."
2720,map00440,R02590,Phosphonate and phosphinate metabolism,"Natural products containing carbon-phosphorous bonds, so-called C-P compounds, are derivatives of phosphonate and phosphinate with substitution of alkyl group for hydrogen of phosphorus-hydrogen bonds. C-P compounds have been found in many organisms, but only protists and bacteria, mostly Actinobacteria, have biosynthetic capacity. A common reaction in the biosynthetic pathway is C-P bond forming reaction from phosphoenolpyruvate (PEP) to phosphonopyruvate (PnPy) catalyzed by PEP phosphomutase. 2-Aminoethylphosphonate (AEP) is the most abundant C-P compound in the natural world. AEP derivatives include phosphonoprotein, phosphonoglycan, and phosphonolipid. Other known C-P compounds are bioactive substances used in medicine (antibiotics) and agriculture (herbicide) such as fosfomycin, FR-33289, rhizocticin, and bialaphos."
2721,map00440,R02592,Phosphonate and phosphinate metabolism,"Natural products containing carbon-phosphorous bonds, so-called C-P compounds, are derivatives of phosphonate and phosphinate with substitution of alkyl group for hydrogen of phosphorus-hydrogen bonds. C-P compounds have been found in many organisms, but only protists and bacteria, mostly Actinobacteria, have biosynthetic capacity. A common reaction in the biosynthetic pathway is C-P bond forming reaction from phosphoenolpyruvate (PEP) to phosphonopyruvate (PnPy) catalyzed by PEP phosphomutase. 2-Aminoethylphosphonate (AEP) is the most abundant C-P compound in the natural world. AEP derivatives include phosphonoprotein, phosphonoglycan, and phosphonolipid. Other known C-P compounds are bioactive substances used in medicine (antibiotics) and agriculture (herbicide) such as fosfomycin, FR-33289, rhizocticin, and bialaphos."
2722,map00440,R04051,Phosphonate and phosphinate metabolism,"Natural products containing carbon-phosphorous bonds, so-called C-P compounds, are derivatives of phosphonate and phosphinate with substitution of alkyl group for hydrogen of phosphorus-hydrogen bonds. C-P compounds have been found in many organisms, but only protists and bacteria, mostly Actinobacteria, have biosynthetic capacity. A common reaction in the biosynthetic pathway is C-P bond forming reaction from phosphoenolpyruvate (PEP) to phosphonopyruvate (PnPy) catalyzed by PEP phosphomutase. 2-Aminoethylphosphonate (AEP) is the most abundant C-P compound in the natural world. AEP derivatives include phosphonoprotein, phosphonoglycan, and phosphonolipid. Other known C-P compounds are bioactive substances used in medicine (antibiotics) and agriculture (herbicide) such as fosfomycin, FR-33289, rhizocticin, and bialaphos."
2723,map00440,R04053,Phosphonate and phosphinate metabolism,"Natural products containing carbon-phosphorous bonds, so-called C-P compounds, are derivatives of phosphonate and phosphinate with substitution of alkyl group for hydrogen of phosphorus-hydrogen bonds. C-P compounds have been found in many organisms, but only protists and bacteria, mostly Actinobacteria, have biosynthetic capacity. A common reaction in the biosynthetic pathway is C-P bond forming reaction from phosphoenolpyruvate (PEP) to phosphonopyruvate (PnPy) catalyzed by PEP phosphomutase. 2-Aminoethylphosphonate (AEP) is the most abundant C-P compound in the natural world. AEP derivatives include phosphonoprotein, phosphonoglycan, and phosphonolipid. Other known C-P compounds are bioactive substances used in medicine (antibiotics) and agriculture (herbicide) such as fosfomycin, FR-33289, rhizocticin, and bialaphos."
2724,map00440,R04152,Phosphonate and phosphinate metabolism,"Natural products containing carbon-phosphorous bonds, so-called C-P compounds, are derivatives of phosphonate and phosphinate with substitution of alkyl group for hydrogen of phosphorus-hydrogen bonds. C-P compounds have been found in many organisms, but only protists and bacteria, mostly Actinobacteria, have biosynthetic capacity. A common reaction in the biosynthetic pathway is C-P bond forming reaction from phosphoenolpyruvate (PEP) to phosphonopyruvate (PnPy) catalyzed by PEP phosphomutase. 2-Aminoethylphosphonate (AEP) is the most abundant C-P compound in the natural world. AEP derivatives include phosphonoprotein, phosphonoglycan, and phosphonolipid. Other known C-P compounds are bioactive substances used in medicine (antibiotics) and agriculture (herbicide) such as fosfomycin, FR-33289, rhizocticin, and bialaphos."
2725,map00440,R04247,Phosphonate and phosphinate metabolism,"Natural products containing carbon-phosphorous bonds, so-called C-P compounds, are derivatives of phosphonate and phosphinate with substitution of alkyl group for hydrogen of phosphorus-hydrogen bonds. C-P compounds have been found in many organisms, but only protists and bacteria, mostly Actinobacteria, have biosynthetic capacity. A common reaction in the biosynthetic pathway is C-P bond forming reaction from phosphoenolpyruvate (PEP) to phosphonopyruvate (PnPy) catalyzed by PEP phosphomutase. 2-Aminoethylphosphonate (AEP) is the most abundant C-P compound in the natural world. AEP derivatives include phosphonoprotein, phosphonoglycan, and phosphonolipid. Other known C-P compounds are bioactive substances used in medicine (antibiotics) and agriculture (herbicide) such as fosfomycin, FR-33289, rhizocticin, and bialaphos."
2726,map00440,R04248,Phosphonate and phosphinate metabolism,"Natural products containing carbon-phosphorous bonds, so-called C-P compounds, are derivatives of phosphonate and phosphinate with substitution of alkyl group for hydrogen of phosphorus-hydrogen bonds. C-P compounds have been found in many organisms, but only protists and bacteria, mostly Actinobacteria, have biosynthetic capacity. A common reaction in the biosynthetic pathway is C-P bond forming reaction from phosphoenolpyruvate (PEP) to phosphonopyruvate (PnPy) catalyzed by PEP phosphomutase. 2-Aminoethylphosphonate (AEP) is the most abundant C-P compound in the natural world. AEP derivatives include phosphonoprotein, phosphonoglycan, and phosphonolipid. Other known C-P compounds are bioactive substances used in medicine (antibiotics) and agriculture (herbicide) such as fosfomycin, FR-33289, rhizocticin, and bialaphos."
2727,map00440,R04249,Phosphonate and phosphinate metabolism,"Natural products containing carbon-phosphorous bonds, so-called C-P compounds, are derivatives of phosphonate and phosphinate with substitution of alkyl group for hydrogen of phosphorus-hydrogen bonds. C-P compounds have been found in many organisms, but only protists and bacteria, mostly Actinobacteria, have biosynthetic capacity. A common reaction in the biosynthetic pathway is C-P bond forming reaction from phosphoenolpyruvate (PEP) to phosphonopyruvate (PnPy) catalyzed by PEP phosphomutase. 2-Aminoethylphosphonate (AEP) is the most abundant C-P compound in the natural world. AEP derivatives include phosphonoprotein, phosphonoglycan, and phosphonolipid. Other known C-P compounds are bioactive substances used in medicine (antibiotics) and agriculture (herbicide) such as fosfomycin, FR-33289, rhizocticin, and bialaphos."
2728,map00440,R04250,Phosphonate and phosphinate metabolism,"Natural products containing carbon-phosphorous bonds, so-called C-P compounds, are derivatives of phosphonate and phosphinate with substitution of alkyl group for hydrogen of phosphorus-hydrogen bonds. C-P compounds have been found in many organisms, but only protists and bacteria, mostly Actinobacteria, have biosynthetic capacity. A common reaction in the biosynthetic pathway is C-P bond forming reaction from phosphoenolpyruvate (PEP) to phosphonopyruvate (PnPy) catalyzed by PEP phosphomutase. 2-Aminoethylphosphonate (AEP) is the most abundant C-P compound in the natural world. AEP derivatives include phosphonoprotein, phosphonoglycan, and phosphonolipid. Other known C-P compounds are bioactive substances used in medicine (antibiotics) and agriculture (herbicide) such as fosfomycin, FR-33289, rhizocticin, and bialaphos."
2729,map00440,R04251,Phosphonate and phosphinate metabolism,"Natural products containing carbon-phosphorous bonds, so-called C-P compounds, are derivatives of phosphonate and phosphinate with substitution of alkyl group for hydrogen of phosphorus-hydrogen bonds. C-P compounds have been found in many organisms, but only protists and bacteria, mostly Actinobacteria, have biosynthetic capacity. A common reaction in the biosynthetic pathway is C-P bond forming reaction from phosphoenolpyruvate (PEP) to phosphonopyruvate (PnPy) catalyzed by PEP phosphomutase. 2-Aminoethylphosphonate (AEP) is the most abundant C-P compound in the natural world. AEP derivatives include phosphonoprotein, phosphonoglycan, and phosphonolipid. Other known C-P compounds are bioactive substances used in medicine (antibiotics) and agriculture (herbicide) such as fosfomycin, FR-33289, rhizocticin, and bialaphos."
2730,map00440,R04252,Phosphonate and phosphinate metabolism,"Natural products containing carbon-phosphorous bonds, so-called C-P compounds, are derivatives of phosphonate and phosphinate with substitution of alkyl group for hydrogen of phosphorus-hydrogen bonds. C-P compounds have been found in many organisms, but only protists and bacteria, mostly Actinobacteria, have biosynthetic capacity. A common reaction in the biosynthetic pathway is C-P bond forming reaction from phosphoenolpyruvate (PEP) to phosphonopyruvate (PnPy) catalyzed by PEP phosphomutase. 2-Aminoethylphosphonate (AEP) is the most abundant C-P compound in the natural world. AEP derivatives include phosphonoprotein, phosphonoglycan, and phosphonolipid. Other known C-P compounds are bioactive substances used in medicine (antibiotics) and agriculture (herbicide) such as fosfomycin, FR-33289, rhizocticin, and bialaphos."
